date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:22:24	7039/7039	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2020:22:24%20GMT	https://demo.arrowthemes.com/html/index.php?theme=gaucho	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/indexfe80.html	(from )
13:22:26	3423/3423	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2020:22:25%20GMT	https://demo.arrowthemes.com/robots.txt		(from )
13:22:26	5430/5430	---M--	200	added ('OK')	image/x-icon	etag:%221536-57ed9e121e835%22	https://demo.arrowthemes.com/html/favicon.ico	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/favicon.ico	(from https://demo.arrowthemes.com/html/index.php?theme=gaucho)
13:22:27	21905/21905	---M--	200	added ('OK')	text/css	etag:%225591-582dbcfbf3b49%22	https://demo.arrowthemes.com/html/css/style.min.css	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/css/style.min.css	(from https://demo.arrowthemes.com/html/index.php?theme=gaucho)
13:22:30	19308/19308	---M--	200	added ('OK')	image/jpeg	etag:%224b6c-57ed9e4d2f2c3%22	https://demo.arrowthemes.com/html/images/presets/truford.jpg	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/images/presets/truford.jpg	(from https://demo.arrowthemes.com/html/index.php?theme=gaucho)
13:22:30	35617/35617	---M--	200	added ('OK')	image/jpeg	etag:%228b21-57ed9e4c43d1f%22	https://demo.arrowthemes.com/html/images/presets/sandal.jpg	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/images/presets/sandal.jpg	(from https://demo.arrowthemes.com/html/index.php?theme=gaucho)
13:22:32	35782/35782	---M--	200	added ('OK')	image/jpeg	etag:%228bc6-57ed9e4bfa93e%22	https://demo.arrowthemes.com/html/images/presets/gaucho.jpg	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/images/presets/gaucho.jpg	(from https://demo.arrowthemes.com/html/index.php?theme=gaucho)
13:22:33	50627/50627	---M--	200	added ('OK')	image/png	etag:%22c5c3-57ed9e4dbc495%22	https://demo.arrowthemes.com/html/images/presets/celsius.png	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/images/presets/celsius.png	(from https://demo.arrowthemes.com/html/index.php?theme=gaucho)
13:22:34	579/579	---M--	200	added ('OK')	image/svg+xml	etag:%22243-57ed9e477c6d5%22	https://demo.arrowthemes.com/html/images/close-button.svg	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/images/close-button.svg	(from https://demo.arrowthemes.com/html/index.php?theme=gaucho)
13:22:37	387/387	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Aug%202020%2020:22:37%20GMT	https://demo.arrowthemes.com/html/truford	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford	(from https://demo.arrowthemes.com/html/index.php?theme=gaucho)
